steps,date,interval
00,2012-10-01,2045,weekdays
00,2012-10-01,2050,weekdays
00,2012-10-01,2055,weekdays
00,2012-10-01,2100,weekdays
00,2012-10-01,2105,weekdays
00,2012-10-01,2110,weekdays
00,2012-10-01,2115,weekdays
00,2012-10-01,2120,weekdays
00,2012-10-01,2125,weekdays
00,2012-10-01,2130,weekdays
00,2012-10-01,2135,weekdays
00,2012-10-01,2140,weekdays
00,2012-10-01,2145,weekdays
00,2012-10-01,2150,weekdays
00,2012-10-01,2155,weekdays
00,2012-10-01,2200,weekdays
00,2012-10-01,2205,weekdays
00,2012-10-01,2210,weekdays
00,2012-10-01,2215,weekdays
00,2012-10-01,2220,weekdays
00,2012-10-01,2225,weekdays
00,2012-10-01,2230,weekdays
00,2012-10-01,2235,weekdays
00,2012-10-01,2240,weekdays
00,2012-10-01,2245,weekdays
00,2012-10-01,2250,weekdays
00,2012-10-01,2255,weekdays
00,2012-10-01,2300,weekdays
00,2012-10-01,2305,weekdays
00,2012-10-01,2310,weekdays
00,2012-10-01,2315,weekdays
00,2012-10-01,2320,weekdays
00,2012-10-01,2325,weekdays
00,2012-10-01,2330,weekdays
00,2012-10-01,2335,weekdays
00,2012-10-01,2340,weekdays
00,2012-10-01,2345,weekdays
00,2012-10-01,2350,weekdays
00,2012-10-01,2355,weekdays
00,2012-10-02,0,weekdays
00,2012-10-02,5,weekdays
00,2012-10-02,10,weekdays
00,2012-10-02,15,weekdays
00,2012-10-02,20,weekdays
00,2012-10-02,25,weekdays
00,2012-10-02,30,weekdays
00,2012-10-02,35,weekdays
00,2012-10-02,40,weekdays
00,2012-10-02,45,weekdays
00,2012-10-02,50,weekdays
00,2012-10-02,55,weekdays
00,2012-10-02,100,weekdays
00,2012-10-02,105,weekdays
00,2012-10-02,110,weekdays
00,2012-10-02,115,weekdays
00,2012-10-02,120,weekdays
00,2012-10-02,125,weekdays
00,2012-10-02,130,weekdays
00,2012-10-02,135,weekdays
00,2012-10-02,140,weekdays
00,2012-10-02,145,weekdays
00,2012-10-02,150,weekdays
00,2012-10-02,155,weekdays
00,2012-10-02,200,weekdays
00,2012-10-02,205,weekdays
00,2012-10-02,210,weekdays
00,2012-10-02,215,weekdays
00,2012-10-02,220,weekdays
00,2012-10-02,225,weekdays
00,2012-10-02,230,weekdays
00,2012-10-02,235,weekdays
00,2012-10-02,240,weekdays
00,2012-10-02,245,weekdays
00,2012-10-02,250,weekdays
00,2012-10-02,255,weekdays
00,2012-10-02,300,weekdays
00,2012-10-02,305,weekdays
00,2012-10-02,310,weekdays
00,2012-10-02,315,weekdays
00,2012-10-02,320,weekdays
00,2012-10-02,325,weekdays
00,2012-10-02,330,weekdays
00,2012-10-02,335,weekdays
00,2012-10-02,340,weekdays
00,2012-10-02,345,weekdays
00,2012-10-02,350,weekdays
00,2012-10-02,355,weekdays
00,2012-10-02,400,weekdays
00,2012-10-02,405,weekdays
00,2012-10-02,410,weekdays
00,2012-10-02,415,weekdays
00,2012-10-02,420,weekdays
00,2012-10-02,425,weekdays
00,2012-10-02,430,weekdays
00,2012-10-02,435,weekdays
00,2012-10-02,440,weekdays
00,2012-10-02,445,weekdays
00,2012-10-02,450,weekdays
00,2012-10-02,455,weekdays
00,2012-10-02,500,weekdays
00,2012-10-02,505,weekdays
00,2012-10-02,510,weekdays
00,2012-10-02,515,weekdays
00,2012-10-02,520,weekdays
00,2012-10-02,525,weekdays
00,2012-10-02,530,weekdays
00,2012-10-02,535,weekdays
00,2012-10-02,540,weekdays
00,2012-10-02,545,weekdays
00,2012-10-02,550,weekdays
00,2012-10-02,555,weekdays
00,2012-10-02,600,weekdays
00,2012-10-02,605,weekdays
00,2012-10-02,610,weekdays
00,2012-10-02,615,weekdays
00,2012-10-02,620,weekdays
00,2012-10-02,625,weekdays
00,2012-10-02,630,weekdays
00,2012-10-02,635,weekdays
00,2012-10-02,640,weekdays
00,2012-10-02,645,weekdays
00,2012-10-02,650,weekdays
00,2012-10-02,655,weekdays
00,2012-10-02,700,weekdays
00,2012-10-02,705,weekdays
00,2012-10-02,710,weekdays
00,2012-10-02,715,weekdays
00,2012-10-02,720,weekdays
00,2012-10-02,725,weekdays
00,2012-10-02,730,weekdays
00,2012-10-02,735,weekdays
00,2012-10-02,740,weekdays
00,2012-10-02,745,weekdays
00,2012-10-02,750,weekdays
00,2012-10-02,755,weekdays
00,2012-10-02,800,weekdays
00,2012-10-02,805,weekdays
00,2012-10-02,810,weekdays
00,2012-10-02,815,weekdays
00,2012-10-02,820,weekdays
00,2012-10-02,825,weekdays
00,2012-10-02,830,weekdays
00,2012-10-02,835,weekdays
00,2012-10-02,840,weekdays
00,2012-10-02,845,weekdays
00,2012-10-02,850,weekdays
00,2012-10-02,855,weekdays
00,2012-10-02,900,weekdays
00,2012-10-02,905,weekdays
00,2012-10-02,910,weekdays
00,2012-10-02,915,weekdays
00,2012-10-02,920,weekdays
00,2012-10-02,925,weekdays
00,2012-10-02,930,weekdays
00,2012-10-02,935,weekdays
00,2012-10-02,940,weekdays
00,2012-10-02,945,weekdays
00,2012-10-02,950,weekdays
00,2012-10-02,955,weekdays
00,2012-10-02,1000,weekdays
00,2012-10-02,1005,weekdays
00,2012-10-02,1010,weekdays
00,2012-10-02,1015,weekdays
00,2012-10-02,1020,weekdays
00,2012-10-02,1025,weekdays
00,2012-10-02,1030,weekdays
00,2012-10-02,1035,weekdays
00,2012-10-02,1040,weekdays
00,2012-10-02,1045,weekdays
00,2012-10-02,1050,weekdays
00,2012-10-02,1055,weekdays
00,2012-10-02,1100,weekdays
00,2012-10-02,1105,weekdays
00,2012-10-02,1110,weekdays
00,2012-10-02,1115,weekdays
00,2012-10-02,1120,weekdays
00,2012-10-02,1125,weekdays
00,2012-10-02,1130,weekdays
00,2012-10-02,1135,weekdays
00,2012-10-02,1140,weekdays
00,2012-10-02,1145,weekdays
00,2012-10-02,1150,weekdays
00,2012-10-02,1155,weekdays
00,2012-10-02,1200,weekdays
00,2012-10-02,1205,weekdays
00,2012-10-02,1210,weekdays
00,2012-10-02,1215,weekdays
00,2012-10-02,1220,weekdays
00,2012-10-02,1225,weekdays
00,2012-10-02,1230,weekdays
00,2012-10-02,1235,weekdays
00,2012-10-02,1240,weekdays
00,2012-10-02,1245,weekdays
00,2012-10-02,1250,weekdays
00,2012-10-02,1255,weekdays
00,2012-10-02,1300,weekdays
00,2012-10-02,1305,weekdays
00,2012-10-02,1310,weekdays
00,2012-10-02,1315,weekdays
00,2012-10-02,1320,weekdays
00,2012-10-02,1325,weekdays
00,2012-10-02,1330,weekdays
00,2012-10-02,1335,weekdays
00,2012-10-02,1340,weekdays
00,2012-10-02,1345,weekdays
00,2012-10-02,1350,weekdays
00,2012-10-02,1355,weekdays
00,2012-10-02,1400,weekdays
00,2012-10-02,1405,weekdays
00,2012-10-02,1410,weekdays
00,2012-10-02,1415,weekdays
00,2012-10-02,1420,weekdays
00,2012-10-02,1425,weekdays
00,2012-10-02,1430,weekdays
00,2012-10-02,1435,weekdays
00,2012-10-02,1440,weekdays
00,2012-10-02,1445,weekdays
00,2012-10-02,1450,weekdays
00,2012-10-02,1455,weekdays
00,2012-10-02,1500,weekdays
00,2012-10-02,1505,weekdays
00,2012-10-02,1510,weekdays
00,2012-10-02,1515,weekdays
00,2012-10-02,1520,weekdays
00,2012-10-02,1525,weekdays
00,2012-10-02,1530,weekdays
00,2012-10-02,1535,weekdays
00,2012-10-02,1540,weekdays
00,2012-10-02,1545,weekdays
00,2012-10-02,1550,weekdays
00,2012-10-02,1555,weekdays
00,2012-10-02,1600,weekdays
00,2012-10-02,1605,weekdays
00,2012-10-02,1610,weekdays
00,2012-10-02,1615,weekdays
00,2012-10-02,1620,weekdays
00,2012-10-02,1625,weekdays
00,2012-10-02,1630,weekdays
00,2012-10-02,1635,weekdays
00,2012-10-02,1640,weekdays
00,2012-10-02,1645,weekdays
00,2012-10-02,1650,weekdays
00,2012-10-02,1655,weekdays
00,2012-10-02,1700,weekdays
00,2012-10-02,1705,weekdays
00,2012-10-02,1710,weekdays
00,2012-10-02,1715,weekdays
00,2012-10-02,1720,weekdays
00,2012-10-02,1725,weekdays
00,2012-10-02,1730,weekdays
00,2012-10-02,1735,weekdays
00,2012-10-02,1740,weekdays
00,2012-10-02,1745,weekdays
00,2012-10-02,1750,weekdays
00,2012-10-02,1755,weekdays
00,2012-10-02,1800,weekdays
00,2012-10-02,1805,weekdays
00,2012-10-02,1810,weekdays
00,2012-10-02,1815,weekdays
00,2012-10-02,1820,weekdays
00,2012-10-02,1825,weekdays
00,2012-10-02,1830,weekdays
00,2012-10-02,1835,weekdays
00,2012-10-02,1840,weekdays
00,2012-10-02,1845,weekdays
00,2012-10-02,1850,weekdays
00,2012-10-02,1855,weekdays
00,2012-10-02,1900,weekdays
00,2012-10-02,1905,weekdays
00,2012-10-02,1910,weekdays
00,2012-10-02,1915,weekdays
00,2012-10-02,1920,weekdays
00,2012-10-02,1925,weekdays
00,2012-10-02,1930,weekdays
00,2012-10-02,1935,weekdays
00,2012-10-02,1940,weekdays
00,2012-10-02,1945,weekdays
00,2012-10-02,1950,weekdays
00,2012-10-02,1955,weekdays
00,2012-10-02,2000,weekdays
00,2012-10-02,2005,weekdays
00,2012-10-02,2010,weekdays
00,2012-10-02,2015,weekdays
00,2012-10-02,2020,weekdays
00,2012-10-02,2025,weekdays
00,2012-10-02,2030,weekdays
00,2012-10-02,2035,weekdays
00,2012-10-02,2040,weekdays
00,2012-10-02,2045,weekdays
00,2012-10-02,2050,weekdays
00,2012-10-02,2055,weekdays
00,2012-10-02,2100,weekdays
00,2012-10-02,2105,weekdays
00,2012-10-02,2110,weekdays
00,2012-10-02,2115,weekdays
00,2012-10-02,2120,weekdays
00,2012-10-02,2125,weekdays
00,2012-10-02,2130,weekdays
00,2012-10-02,2135,weekdays
00,2012-10-02,2140,weekdays
00,2012-10-02,2145,weekdays
00,2012-10-02,2150,weekdays
00,2012-10-02,2155,weekdays
00,2012-10-02,2200,weekdays
00,2012-10-02,2205,weekdays
117117,2012-10-02,2210,weekdays
99,2012-10-02,2215,weekdays
00,2012-10-02,2220,weekdays
00,2012-10-02,2225,weekdays
00,2012-10-02,2230,weekdays
00,2012-10-02,2235,weekdays
00,2012-10-02,2240,weekdays
00,2012-10-02,2245,weekdays
00,2012-10-02,2250,weekdays
00,2012-10-02,2255,weekdays
00,2012-10-02,2300,weekdays
00,2012-10-02,2305,weekdays
00,2012-10-02,2310,weekdays
00,2012-10-02,2315,weekdays
00,2012-10-02,2320,weekdays
00,2012-10-02,2325,weekdays
00,2012-10-02,2330,weekdays
00,2012-10-02,2335,weekdays
00,2012-10-02,2340,weekdays
00,2012-10-02,2345,weekdays
00,2012-10-02,2350,weekdays
00,2012-10-02,2355,weekdays
00,2012-10-03,0,weekdays
00,2012-10-03,5,weekdays
00,2012-10-03,10,weekdays
00,2012-10-03,15,weekdays
00,2012-10-03,20,weekdays
00,2012-10-03,25,weekdays
00,2012-10-03,30,weekdays
00,2012-10-03,35,weekdays
00,2012-10-03,40,weekdays
00,2012-10-03,45,weekdays
00,2012-10-03,50,weekdays
00,2012-10-03,55,weekdays
00,2012-10-03,100,weekdays
00,2012-10-03,105,weekdays
00,2012-10-03,110,weekdays
00,2012-10-03,115,weekdays
00,2012-10-03,120,weekdays
00,2012-10-03,125,weekdays
00,2012-10-03,130,weekdays
00,2012-10-03,135,weekdays
00,2012-10-03,140,weekdays
00,2012-10-03,145,weekdays
00,2012-10-03,150,weekdays
00,2012-10-03,155,weekdays
00,2012-10-03,200,weekdays
00,2012-10-03,205,weekdays
00,2012-10-03,210,weekdays
00,2012-10-03,215,weekdays
00,2012-10-03,220,weekdays
00,2012-10-03,225,weekdays
00,2012-10-03,230,weekdays
00,2012-10-03,235,weekdays
00,2012-10-03,240,weekdays
00,2012-10-03,245,weekdays
00,2012-10-03,250,weekdays
00,2012-10-03,255,weekdays
00,2012-10-03,300,weekdays
00,2012-10-03,305,weekdays
00,2012-10-03,310,weekdays
00,2012-10-03,315,weekdays
00,2012-10-03,320,weekdays
00,2012-10-03,325,weekdays
00,2012-10-03,330,weekdays
00,2012-10-03,335,weekdays
00,2012-10-03,340,weekdays
00,2012-10-03,345,weekdays
00,2012-10-03,350,weekdays
00,2012-10-03,355,weekdays
00,2012-10-03,400,weekdays
00,2012-10-03,405,weekdays
44,2012-10-03,410,weekdays
00,2012-10-03,415,weekdays
00,2012-10-03,420,weekdays
00,2012-10-03,425,weekdays
3636,2012-10-03,430,weekdays
00,2012-10-03,435,weekdays
00,2012-10-03,440,weekdays
00,2012-10-03,445,weekdays
00,2012-10-03,450,weekdays
00,2012-10-03,455,weekdays
00,2012-10-03,500,weekdays
00,2012-10-03,505,weekdays
00,2012-10-03,510,weekdays
00,2012-10-03,515,weekdays
00,2012-10-03,520,weekdays
00,2012-10-03,525,weekdays
00,2012-10-03,530,weekdays
2525,2012-10-03,535,weekdays
00,2012-10-03,540,weekdays
00,2012-10-03,545,weekdays
9090,2012-10-03,550,weekdays
411411,2012-10-03,555,weekdays
413413,2012-10-03,600,weekdays
415415,2012-10-03,605,weekdays
519519,2012-10-03,610,weekdays
529529,2012-10-03,615,weekdays
613613,2012-10-03,620,weekdays
562562,2012-10-03,625,weekdays
612612,2012-10-03,630,weekdays
534534,2012-10-03,635,weekdays
323323,2012-10-03,640,weekdays
600600,2012-10-03,645,weekdays
533533,2012-10-03,650,weekdays
251251,2012-10-03,655,weekdays
5656,2012-10-03,700,weekdays
00,2012-10-03,705,weekdays
3232,2012-10-03,710,weekdays
8080,2012-10-03,715,weekdays
1010,2012-10-03,720,weekdays
99,2012-10-03,725,weekdays
145145,2012-10-03,730,weekdays
4646,2012-10-03,735,weekdays
00,2012-10-03,740,weekdays
4444,2012-10-03,745,weekdays
126126,2012-10-03,750,weekdays
4242,2012-10-03,755,weekdays
138138,2012-10-03,800,weekdays
5353,2012-10-03,805,weekdays
00,2012-10-03,810,weekdays
00,2012-10-03,815,weekdays
2222,2012-10-03,820,weekdays
5757,2012-10-03,825,weekdays
161161,2012-10-03,830,weekdays
1919,2012-10-03,835,weekdays
1515,2012-10-03,840,weekdays
00,2012-10-03,845,weekdays
1616,2012-10-03,850,weekdays
00,2012-10-03,855,weekdays
00,2012-10-03,900,weekdays
88,2012-10-03,905,weekdays
00,2012-10-03,910,weekdays
5151,2012-10-03,915,weekdays
516516,2012-10-03,920,weekdays
245245,2012-10-03,925,weekdays
00,2012-10-03,930,weekdays
161161,2012-10-03,935,weekdays
77,2012-10-03,940,weekdays
00,2012-10-03,945,weekdays
00,2012-10-03,950,weekdays
00,2012-10-03,955,weekdays
00,2012-10-03,1000,weekdays
00,2012-10-03,1005,weekdays
00,2012-10-03,1010,weekdays
00,2012-10-03,1015,weekdays
00,2012-10-03,1020,weekdays
00,2012-10-03,1025,weekdays
00,2012-10-03,1030,weekdays
00,2012-10-03,1035,weekdays
00,2012-10-03,1040,weekdays
00,2012-10-03,1045,weekdays
00,2012-10-03,1050,weekdays
00,2012-10-03,1055,weekdays
00,2012-10-03,1100,weekdays
00,2012-10-03,1105,weekdays
00,2012-10-03,1110,weekdays
00,2012-10-03,1115,weekdays
00,2012-10-03,1120,weekdays
00,2012-10-03,1125,weekdays
00,2012-10-03,1130,weekdays
7272,2012-10-03,1135,weekdays
7373,2012-10-03,1140,weekdays
00,2012-10-03,1145,weekdays
00,2012-10-03,1150,weekdays
116116,2012-10-03,1155,weekdays
9797,2012-10-03,1200,weekdays
00,2012-10-03,1205,weekdays
00,2012-10-03,1210,weekdays
00,2012-10-03,1215,weekdays
00,2012-10-03,1220,weekdays
00,2012-10-03,1225,weekdays
1515,2012-10-03,1230,weekdays
00,2012-10-03,1235,weekdays
00,2012-10-03,1240,weekdays
00,2012-10-03,1245,weekdays
00,2012-10-03,1250,weekdays
00,2012-10-03,1255,weekdays
8080,2012-10-03,1300,weekdays
6969,2012-10-03,1305,weekdays
00,2012-10-03,1310,weekdays
00,2012-10-03,1315,weekdays
00,2012-10-03,1320,weekdays
00,2012-10-03,1325,weekdays
00,2012-10-03,1330,weekdays
00,2012-10-03,1335,weekdays
00,2012-10-03,1340,weekdays
9999,2012-10-03,1345,weekdays
100100,2012-10-03,1350,weekdays
00,2012-10-03,1355,weekdays
00,2012-10-03,1400,weekdays
3333,2012-10-03,1405,weekdays
00,2012-10-03,1410,weekdays
00,2012-10-03,1415,weekdays
77,2012-10-03,1420,weekdays
00,2012-10-03,1425,weekdays
00,2012-10-03,1430,weekdays
00,2012-10-03,1435,weekdays
00,2012-10-03,1440,weekdays
00,2012-10-03,1445,weekdays
00,2012-10-03,1450,weekdays
00,2012-10-03,1455,weekdays
00,2012-10-03,1500,weekdays
00,2012-10-03,1505,weekdays
00,2012-10-03,1510,weekdays
00,2012-10-03,1515,weekdays
00,2012-10-03,1520,weekdays
00,2012-10-03,1525,weekdays
00,2012-10-03,1530,weekdays
00,2012-10-03,1535,weekdays
00,2012-10-03,1540,weekdays
8888,2012-10-03,1545,weekdays
154154,2012-10-03,1550,weekdays
00,2012-10-03,1555,weekdays
2020,2012-10-03,1600,weekdays
00,2012-10-03,1605,weekdays
00,2012-10-03,1610,weekdays
00,2012-10-03,1615,weekdays
00,2012-10-03,1620,weekdays
00,2012-10-03,1625,weekdays
00,2012-10-03,1630,weekdays
00,2012-10-03,1635,weekdays
00,2012-10-03,1640,weekdays
00,2012-10-03,1645,weekdays
00,2012-10-03,1650,weekdays
00,2012-10-03,1655,weekdays
00,2012-10-03,1700,weekdays
00,2012-10-03,1705,weekdays
198198,2012-10-03,1710,weekdays
6161,2012-10-03,1715,weekdays
7575,2012-10-03,1720,weekdays
00,2012-10-03,1725,weekdays
00,2012-10-03,1730,weekdays
193193,2012-10-03,1735,weekdays
298298,2012-10-03,1740,weekdays
00,2012-10-03,1745,weekdays
1515,2012-10-03,1750,weekdays
2121,2012-10-03,1755,weekdays
00,2012-10-03,1800,weekdays
00,2012-10-03,1805,weekdays
00,2012-10-03,1810,weekdays
00,2012-10-03,1815,weekdays
5151,2012-10-03,1820,weekdays
3636,2012-10-03,1825,weekdays
00,2012-10-03,1830,weekdays
2626,2012-10-03,1835,weekdays
2222,2012-10-03,1840,weekdays
00,2012-10-03,1845,weekdays
3939,2012-10-03,1850,weekdays
5252,2012-10-03,1855,weekdays
1515,2012-10-03,1900,weekdays
4141,2012-10-03,1905,weekdays
00,2012-10-03,1910,weekdays
4242,2012-10-03,1915,weekdays
00,2012-10-03,1920,weekdays
00,2012-10-03,1925,weekdays
159159,2012-10-03,1930,weekdays
3232,2012-10-03,1935,weekdays
00,2012-10-03,1940,weekdays
00,2012-10-03,1945,weekdays
00,2012-10-03,1950,weekdays
00,2012-10-03,1955,weekdays
3434,2012-10-03,2000,weekdays
00,2012-10-03,2005,weekdays
00,2012-10-03,2010,weekdays
00,2012-10-03,2015,weekdays
00,2012-10-03,2020,weekdays
3636,2012-10-03,2025,weekdays
7373,2012-10-03,2030,weekdays
99,2012-10-03,2035,weekdays
00,2012-10-03,2040,weekdays
00,2012-10-03,2045,weekdays
00,2012-10-03,2050,weekdays
00,2012-10-03,2055,weekdays
00,2012-10-03,2100,weekdays
00,2012-10-03,2105,weekdays
00,2012-10-03,2110,weekdays
00,2012-10-03,2115,weekdays
00,2012-10-03,2120,weekdays
00,2012-10-03,2125,weekdays
9090,2012-10-03,2130,weekdays
128128,2012-10-03,2135,weekdays
4646,2012-10-03,2140,weekdays
00,2012-10-03,2145,weekdays
00,2012-10-03,2150,weekdays
